"Action Context","Action Type","Action URL","App Name","App Version","Apple Id Number","Capacity Data","Capacity Data Available","Capacity Disk","Capacity System","Capacity System Available","Click Target","Client ID","Client ID Version","Cookies","Event Date Time","Event Post Date Time","Event Type","External Referral URL","Hardware Model","IP City","IP Company","IP Continent","IP Country","IP Network","IP Network type","Item Description","Language","Media Play Position MS","Navigation","Network Connection","OS","OS Major Version","OS Version","Offer Type","Page ID","Page Type","Referral App Name","Referral URL","Screen Height Pixel","Screen Pixel Ratio","Screen Width Pixel","Search Term","Store Front Name","Tab","Term","Timezone Offset Min","Type","User Agent","User Subscription Status","Window Inner Height Pixel","Window Inner Width Pixel","Window Outer Height Pixel","Window Outer Width Pixel"
"","","","Apple Books","4040","405952270","0","0","0","0","0","","4zinoGmt093JFgAQMlR2JWLO","3","itscc -> ""2%7C1531260869074%60Shazam_1%6030201""","2018-12-09T22:13:14.673Z","2018-12-09T22:13:14.743Z","exit","","iPhone XS","ATLANTA","Comcast_Cable_Communications_LLC","NA","US","comcast","cable","","English","","","WiFi","ios","12","12.1","","","","","","812","3.0","375","","United States","library","","300","taskSwitch","iBooks/5.1 iOS/12.1 model/iPhone11,2 hwp/t8020 build/16B92 (6; dt:185)","unknown","812","375","812","375"
"","","","Apple Books","4040","405952270","0","0","0","0","0","","4zinoGmt093JFgAQMlR2JWLO","3","itscc -> ""2%7C1531260869074%60Shazam_1%6030201""","2018-12-09T22:13:08.734Z","2018-12-09T22:13:14.743Z","enter","","iPhone XS","ATLANTA","Comcast_Cable_Communications_LLC","NA","US","comcast","cable","","English","","","WiFi","ios","12","12.1","","","","","","812","3.0","375","","United States","library","","300","taskSwitch","iBooks/5.1 iOS/12.1 model/iPhone11,2 hwp/t8020 build/16B92 (6; dt:185)","unknown","812","375","812","375"
"","","","Apple Books","4040","405952270","0","0","0","0","0","","4zinoGmt093JFgAQMlR2JWLO","3","itscc -> ""2%7C1531260869074%60Shazam_1%6030201""","2018-12-09T22:06:46.613Z","2018-12-09T22:06:47.091Z","exit","","iPhone XS","ATLANTA","Comcast_Cable_Communications_LLC","NA","US","comcast","cable","","English","","","WiFi","ios","12","12.1","","","","","","812","3.0","375","","United States","library","","300","taskSwitch","iBooks/5.1 iOS/12.1 model/iPhone11,2 hwp/t8020 build/16B92 (6; dt:185)","unknown","812","375","812","375"
"","","","Apple Books","4040","405952270","0","0","0","0","0","","4zinoGmt093JFgAQMlR2JWLO","3","itscc -> ""2%7C1531260869074%60Shazam_1%6030201""","2018-12-09T22:06:06.439Z","2018-12-09T22:06:47.091Z","enter","","iPhone XS","ATLANTA","Comcast_Cable_Communications_LLC","NA","US","comcast","cable","","English","","","WiFi","ios","12","12.1","","","","","","812","3.0","375","","United States","reading_now","","300","launch","iBooks/5.1 iOS/12.1 model/iPhone11,2 hwp/t8020 build/16B92 (6; dt:185)","unknown","812","375","812","375"
"","","","Apple Books","4040","405952270","0","0","0","0","0","","4zinoGmt093JFgAQMlR2JWLO","3","itscc -> ""2%7C1531260869074%60Shazam_1%6030201""","2018-12-09T16:57:49.020Z","2018-12-09T16:57:49.526Z","exit","","iPhone XS","ATLANTA","Comcast_Cable_Communications_LLC","NA","US","comcast","cable","","English","","","WiFi","ios","12","12.1","","ReadingNow","ReadingNow","","","812","3.0","375","","United States","library","","300","taskSwitch","iBooks/5.1 iOS/12.1 model/iPhone11,2 hwp/t8020 build/16B92 (6; dt:185)","unknown","812","375","812","375"
"","","","Apple Books","4040","405952270","0","0","0","0","0","","4zinoGmt093JFgAQMlR2JWLO","3","itscc -> ""2%7C1531260869074%60Shazam_1%6030201""","2018-12-09T16:56:54.685Z","2018-12-09T16:57:49.526Z","impressions","","iPhone XS","ATLANTA","Comcast_Cable_Communications_LLC","NA","US","comcast","cable","","English","","","WiFi","ios","12","12.1","","ReadingNow","ReadingNow","","","812","3.0","375","","United States","library","","300","","iBooks/5.1 iOS/12.1 model/iPhone11,2 hwp/t8020 build/16B92 (6; dt:185)","unknown","812","375","812","375"
"","","","Apple Books","4040","405952270","0","0","0","0","0","","4zinoGmt093JFgAQMlR2JWLO","3","itscc -> ""2%7C1531260869074%60Shazam_1%6030201""","2018-12-09T16:56:54.647Z","2018-12-09T16:57:49.526Z","page","","iPhone XS","ATLANTA","Comcast_Cable_Communications_LLC","NA","US","comcast","cable","","English","","back","WiFi","ios","12","12.1","","ReadingNow","ReadingNow","","","812","3.0","375","","United States","reading_now","","300","","iBooks/5.1 iOS/12.1 model/iPhone11,2 hwp/t8020 build/16B92 (6; dt:185)","unknown","812","375","812","375"
"","","","Apple Books","4040","405952270","0","0","0","0","0","","4zinoGmt093JFgAQMlR2JWLO","3","itscc -> ""2%7C1531260869074%60Shazam_1%6030201""","2018-12-09T16:56:52.424Z","2018-12-09T16:57:49.526Z","enter","","iPhone XS","ATLANTA","Comcast_Cable_Communications_LLC","NA","US","comcast","cable","","English","","","WiFi","ios","12","12.1","","","","","","812","3.0","375","","United States","","","300","launch","iBooks/5.1 iOS/12.1 model/iPhone11,2 hwp/t8020 build/16B92 (6; dt:185)","","812","375","812","375"
"","","","Apple Books","4046","405952270","0","0","0","0","0","","4zrFAEcbTKIpiUuQhb3rGMCj","3","","2019-04-24T22:58:52.222Z","2019-04-24T22:58:52.624Z","impressions","","iPhone XS","ATLANTA","Cellco_Partnership_DBA_Verizon_Wireless","NA","US","verizon","mobile","","English","","","4G/Verizon","ios","12","12.2","","175048","Grouping","","","812","3.0","375","","United States","audiobooks","","240","","iBooks/5.4 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","unknown","812","375","812","375"
"","","","Apple Books","4046","405952270","0","0","0","0","0","","4zrFAEcbTKIpiUuQhb3rGMCj","3","","2019-04-24T22:58:52.191Z","2019-04-24T22:58:52.276Z","exit","","iPhone XS","ATLANTA","Cellco_Partnership_DBA_Verizon_Wireless","NA","US","verizon","mobile","","English","","","4G/Verizon","ios","12","12.2","","175048","Grouping","","","812","3.0","375","","United States","audiobooks","","240","taskSwitch","iBooks/5.4 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","unknown","812","375","812","375"
"","stop","","Apple Books","4046","405952270","0","0","0","0","0","","4zrFAEcbTKIpiUuQhb3rGMCj","3","","2019-04-24T22:58:43.093Z","2019-04-24T22:58:52.276Z","media","","iPhone XS","ATLANTA","Cellco_Partnership_DBA_Verizon_Wireless","NA","US","verizon","mobile","1459666113","English","66362","","4G/Verizon","ios","12","12.2","","175048","Grouping","","","812","3.0","375","","United States","audiobooks","","240","audio","iBooks/5.4 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","unknown","812","375","812","375"
"","","","Apple Books","4046","405952270","0","0","0","0","0","","4zrFAEcbTKIpiUuQhb3rGMCj","3","","2019-04-24T22:58:17.645Z","2019-04-24T22:58:52.276Z","page","","iPhone XS","ATLANTA","Cellco_Partnership_DBA_Verizon_Wireless","NA","US","verizon","mobile","","English","","back","4G/Verizon","ios","12","12.2","","175048","Grouping","","https://api.books.apple.com/v1/editorial/us/groupings/28","812","3.0","375","","United States","audiobooks","","240","","iBooks/5.4 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","unknown","812","375","812","375"
"","","","Apple Books","4046","405952270","0","0","0","0","0","","4zrFAEcbTKIpiUuQhb3rGMCj","3","","2019-04-24T22:58:17.116Z","2019-04-24T22:58:52.276Z","impressions","","iPhone XS","ATLANTA","Cellco_Partnership_DBA_Verizon_Wireless","NA","US","verizon","mobile","","English","","","4G/Verizon","ios","12","12.2","","1459666113","Product","","","812","3.0","375","","United States","audiobooks","","240","","iBooks/5.4 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","unknown","812","375","812","375"
"","play","","Apple Books","4046","405952270","0","0","0","0","0","","4zrFAEcbTKIpiUuQhb3rGMCj","3","","2019-04-24T22:57:35.284Z","2019-04-24T22:58:52.276Z","media","","iPhone XS","ATLANTA","Cellco_Partnership_DBA_Verizon_Wireless","NA","US","verizon","mobile","1459666113","English","0","","4G/Verizon","ios","12","12.2","","1459666113","Product","","","812","3.0","375","","United States","audiobooks","","240","audio","iBooks/5.4 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","unknown","812","375","812","375"
"actionSheet","audioSample","","Apple Books","4046","405952270","0","0","0","0","0","A Woman First: First Woman: A Memoir (Unabridged)","4zrFAEcbTKIpiUuQhb3rGMCj","3","","2019-04-24T22:57:34.558Z","2019-04-24T22:58:52.276Z","click","","iPhone XS","ATLANTA","Cellco_Partnership_DBA_Verizon_Wireless","NA","US","verizon","mobile","","English","","","4G/Verizon","ios","12","12.2","","1459666113","Product","","","812","3.0","375","","United States","audiobooks","","240","","iBooks/5.4 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","unknown","812","375","812","375"
"Product","more","","Apple Books","4046","405952270","0","0","0","0","0","","4zrFAEcbTKIpiUuQhb3rGMCj","3","","2019-04-24T22:57:32.618Z","2019-04-24T22:58:52.276Z","click","","iPhone XS","ATLANTA","Cellco_Partnership_DBA_Verizon_Wireless","NA","US","verizon","mobile","","English","","","4G/Verizon","ios","12","12.2","","1459666113","Product","","","812","3.0","375","","United States","audiobooks","","240","","iBooks/5.4 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","unknown","812","375","812","375"
"","","","Apple Books","4046","405952270","0","0","0","0","0","","4zrFAEcbTKIpiUuQhb3rGMCj","3","","2019-04-24T22:57:25.514Z","2019-04-24T22:58:52.276Z","page","","iPhone XS","ATLANTA","Cellco_Partnership_DBA_Verizon_Wireless","NA","US","verizon","mobile","","English","","push","4G/Verizon","ios","12","12.2","buy","1459666113","Product","","https://api.books.apple.com/v1/editorial/us/groupings/175048?l=en-US","812","3.0","375","","United States","audiobooks","","240","","iBooks/5.4 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","unknown","812","375","812","375"
"","","","Apple Books","4046","405952270","0","0","0","0","0","","4zrFAEcbTKIpiUuQhb3rGMCj","3","","2019-04-24T22:57:24.863Z","2019-04-24T22:58:52.276Z","impressions","","iPhone XS","ATLANTA","Cellco_Partnership_DBA_Verizon_Wireless","NA","US","verizon","mobile","","English","","","4G/Verizon","ios","12","12.2","","175048","Grouping","","","812","3.0","375","","United States","audiobooks","","240","","iBooks/5.4 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","unknown","812","375","812","375"
"Grouping","navigate","https://api.books.apple.com/v1/catalog/us/audio-books/1459666113?l=en-US","Apple Books","4046","405952270","0","0","0","0","0","A Woman First: First Woman: A Memoir (Unabridged)","4zrFAEcbTKIpiUuQhb3rGMCj","3","","2019-04-24T22:57:24.815Z","2019-04-24T22:58:52.276Z","click","","iPhone XS","ATLANTA","Cellco_Partnership_DBA_Verizon_Wireless","NA","US","verizon","mobile","","English","","","4G/Verizon","ios","12","12.2","","175048","Grouping","","","812","3.0","375","","United States","audiobooks","","240","","iBooks/5.4 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","unknown","812","375","812","375"
"","","","Apple Books","4046","405952270","0","0","0","0","0","","4zrFAEcbTKIpiUuQhb3rGMCj","3","","2019-04-24T22:57:20.473Z","2019-04-24T22:58:52.276Z","page","","iPhone XS","ATLANTA","Cellco_Partnership_DBA_Verizon_Wireless","NA","US","verizon","mobile","","English","","back","4G/Verizon","ios","12","12.2","","175048","Grouping","","https://api.books.apple.com/v1/editorial/us/groupings/28","812","3.0","375","","United States","audiobooks","","240","","iBooks/5.4 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","unknown","812","375","812","375"
"","","","Apple Books","4046","405952270","0","0","0","0","0","","4zrFAEcbTKIpiUuQhb3rGMCj","3","","2019-04-24T22:57:19.973Z","2019-04-24T22:58:52.276Z","impressions","","iPhone XS","ATLANTA","Cellco_Partnership_DBA_Verizon_Wireless","NA","US","verizon","mobile","","English","","","4G/Verizon","ios","12","12.2","","28","MainGrouping","","","812","3.0","375","","United States","audiobooks","","240","","iBooks/5.4 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","unknown","812","375","812","375"
"MainGrouping","navigate","https://api.books.apple.com/v1/editorial/us/groupings/175048?l=en-US","Apple Books","4046","405952270","0","0","0","0","0","175048","4zrFAEcbTKIpiUuQhb3rGMCj","3","","2019-04-24T22:57:19.940Z","2019-04-24T22:58:52.276Z","click","","iPhone XS","ATLANTA","Cellco_Partnership_DBA_Verizon_Wireless","NA","US","verizon","mobile","","English","","","4G/Verizon","ios","12","12.2","","28","MainGrouping","","","812","3.0","375","","United States","audiobooks","","240","","iBooks/5.4 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","unknown","812","375","812","375"
"","","","Apple Books","4046","405952270","0","0","0","0","0","","4zrFAEcbTKIpiUuQhb3rGMCj","3","","2019-04-24T22:57:10.026Z","2019-04-24T22:58:52.276Z","page","","iPhone XS","ATLANTA","Cellco_Partnership_DBA_Verizon_Wireless","NA","US","verizon","mobile","","English","","back","4G/Verizon","ios","12","12.2","","28","MainGrouping","","","812","3.0","375","","United States","audiobooks","","240","","iBooks/5.4 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","unknown","812","375","812","375"
"tabBarController","select","https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewGrouping?cc=us&id=28","Apple Books","4046","405952270","0","0","0","0","0","audiobooks","4zrFAEcbTKIpiUuQhb3rGMCj","3","","2019-04-24T22:57:09.504Z","2019-04-24T22:58:52.276Z","click","","iPhone XS","ATLANTA","Cellco_Partnership_DBA_Verizon_Wireless","NA","US","verizon","mobile","","English","","","4G/Verizon","ios","12","12.2","","","TopCharts","","","812","3.0","375","","United States","audiobooks","","240","","iBooks/5.4 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","unknown","812","375","812","375"
"","","","Apple Books","4046","405952270","0","0","0","0","0","","4zrFAEcbTKIpiUuQhb3rGMCj","3","","2019-04-24T22:57:08.427Z","2019-04-24T22:58:52.276Z","page","","iPhone XS","ATLANTA","Cellco_Partnership_DBA_Verizon_Wireless","NA","US","verizon","mobile","","English","","back","4G/Verizon","ios","12","12.2","","","SectionsCategories","","https://api.books.apple.com/v1/editorial/us/groupings/28","812","3.0","375","","United States","audiobooks","","240","","iBooks/5.4 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","unknown","812","375","812","375"
"","","","Apple Books","4046","405952270","0","0","0","0","0","","4zrFAEcbTKIpiUuQhb3rGMCj","3","","2019-04-24T22:57:07.916Z","2019-04-24T22:58:52.276Z","impressions","","iPhone XS","ATLANTA","Cellco_Partnership_DBA_Verizon_Wireless","NA","US","verizon","mobile","","English","","","4G/Verizon","ios","12","12.2","","","TopCharts","","","812","3.0","375","","United States","audiobooks","","240","","iBooks/5.4 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","unknown","812","375","812","375"
"","","","Apple Books","4046","405952270","0","0","0","0","0","","4zrFAEcbTKIpiUuQhb3rGMCj","3","","2019-04-24T22:57:01.652Z","2019-04-24T22:58:52.276Z","page","","iPhone XS","ATLANTA","Cellco_Partnership_DBA_Verizon_Wireless","NA","US","verizon","mobile","","English","","back","4G/Verizon","ios","12","12.2","","","TopCharts","","","812","3.0","375","","United States","audiobooks","","240","","iBooks/5.4 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","unknown","812","375","812","375"
"SectionsCategories","navigate","/v1/catalog/us/charts?genre=50000024&types=audio-books","Apple Books","4046","405952270","0","0","0","0","0","","4zrFAEcbTKIpiUuQhb3rGMCj","3","","2019-04-24T22:57:01.121Z","2019-04-24T22:58:52.276Z","click","","iPhone XS","ATLANTA","Cellco_Partnership_DBA_Verizon_Wireless","NA","US","verizon","mobile","","English","","","4G/Verizon","ios","12","12.2","","","SectionsCategories","","","812","3.0","375","","United States","audiobooks","","240","","iBooks/5.4 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","unknown","812","375","812","375"
"","","","Apple Books","4046","405952270","0","0","0","0","0","","4zrFAEcbTKIpiUuQhb3rGMCj","3","","2019-04-24T22:56:59.443Z","2019-04-24T22:58:52.276Z","page","","iPhone XS","ATLANTA","Cellco_Partnership_DBA_Verizon_Wireless","NA","US","verizon","mobile","","English","","back","4G/Verizon","ios","12","12.2","","","SectionsCategories","","https://api.books.apple.com/v1/editorial/us/groupings/28","812","3.0","375","","United States","audiobooks","","240","","iBooks/5.4 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","unknown","812","375","812","375"
